,v_id,v_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,J65GxJ2v9Wg,Indian Background Flute Music: Instrumental Meditation Music | Yoga Music | Spa Music for Relaxation,53314025,306057,17618,0,12309
1,JFcgOboQZ08,"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",1074057118,4093833,573291,0,175956
2,XCV7_LcEruw,Classical Indian Music,1992586,16509,781,0,1254
3,e8RBWkcwpjE,"Hindi Melody Songs | Superhit Hindi Song | kumar sanu, alka yagnik &amp; udit narayan",93717,371,85,0,0
4,En1Z1i-4_M4,Hindi Songs Unforgettable Golden Hits| Kumar Sanu_Alka Yagnik_Sonu Nigam_Kavita Krishanamurty_Udit N,897866,2580,785,0,0
5,kfBvz2rG-NI,Nina Burmi | Mishra Bhairavi Thumri | Indian Classical Music,4382764,61352,2024,0,3644
6,TBAj4nbdLEU,Top 5 Bollywood Dance Songs | [Traditional Hits] | JukeBox,84455892,277364,32608,0,12584
7,Tx9t6XRUdcs,"BEST Of Bollywood Old Hindi Songs, Romantic Heart Songs_ Kumar Sanu, Alka Yagnik, Lata Mangeshkar",42633781,267427,51179,0,8583
8,qnX8Jg-P5JE,"Hindi Melody Songs | Superhit Hindi Song | kumar sanu, alka yagnik &amp; udit narayan | #musical_masti",23054,172,35,0,6
9,LcI_n3CoXTc,Bollywood Hits Songs 2021 💖 New Hindi Song 2021 💖 Top Bollywood Romantic Love Songs.,924733,9407,1283,0,295
10,bi5PhlIQpwU,Nadiyon Paar - Full Song - Roohi | Janhvi Kapoor| Sachin-Jigar | Shamur | Rashmeet K,71610464,510331,52226,0,9906
11,M7ijhfmlxsY,"Dil 1990 Songs  Aamir Khan, Madhuri Dixit  Popular 90&#39;s Songs  INDIAN MUSIC",611924,2436,570,0,73
12,8HFeJO5YXk0,Hit song 1999 ke,9505163,43035,3511,0,717
13,W_p-PYvE1IU,NEW BOLLYWOOD HINDI SONGS 2019 | VIDEO JUKEBOX | Top Bollywood Songs 2019,68081748,278493,47044,0,7071
14,v4lXmc8t2kk,"Jaan Tere Naam Jukebox - Full Album Songs | Ronit Roy, Farheen, Nadeem Shravan",1433612,5613,1405,0,180
15,vssb2CVPbGg,"Dilwale Lyrical Songs Jukebox With Dialogues | Ajay Devgan, Raveena Tandon | INDIAN MUSIC",1099298,5842,1343,0,143
16,-qIzvMCU8_o,Indian Tabla + Hang Drum Music || Positive Energy Beats || Yoga Music || Instrumental Music,2272249,31920,655,0,839
17,8NJH5GzA1Ac,Old Vs New Bollywood Mashup Songs 2021 | Old Hindi Songs Mashup Live_Romantic Songs_BoLLyWoOd MaSHuP,132160,734,68,0,2
18,vZbPPU7FFj0,New Bollywood Songs 2018 - Top Hindi Songs 2018 (Trending Indian Music ),2646948,10260,1595,0,316
19,pbppaMT7-5s,Traditional Hindu Music | Madhyalaya | Instrumental Indian Music,736494,11357,258,0,1001
20,JFbMvQ-pIz8,"Sapne Sajan Ke Movie All Songs Jukebox | Rahul Roy, Karisma Kapoor, Jackie Shroff | INDIAN MUSIC",358224,1804,405,0,58
21,uEqYzdz3Zvg,Exquisite Afternoon Raag Bhimpalasi | Kaushiki Chakraborty | Patiala Khayal | Music of India,6784225,93389,2378,0,4219
22,cjjokgYg6nA,Old Hindi SONGS Unforgettable Golden Hits _ Ever Romantic Songs || Best Indian Songs | Eric Davis,11418892,72784,11799,0,2036
23,v1e5Fbbdi2s,Bhai Bhai Song | Bhuj: The Pride Of India |Sanjay D.| Mika S | Lijo George - DJ Chetas| Manoj M,2968702,86421,3416,0,5863
24,KXnTWcDu48s,Old Vs New Bollywood Mashup 2021 | Top 100 Hindi Romantic Songs - Indian mashup  \ Party Mashup 2021,132624,939,66,0,0
25,mr8GBzTsWqM,Indian Flute Meditation Music || Pure Positive Vibes || Instrumental Music for Meditation and Yoga,17406858,157326,7731,0,5728
26,fI5cEP9MCSw,"Sajan Movie all Songs Jukebox | Evergreen Hits Songs | Madhuri Dixit, Salman Khan, Sanjay dutt",196127,970,231,0,23
27,vTIIMJ9tUc8,Daler Mehndi - Tunak Tunak Tun Video,177218574,2418287,110007,0,225376
28,D6B4xo6zYdk,Indian Sitar Instrumental Music 10 Hours,676159,9188,225,0,347
29,CR3C-52Hh8g,Gadar Movie All Songs jukebox  | 90s Hit songs |  Hindi songs jukebox,29286,150,33,0,8
30,O_yGEslYa1k,"Native American Indian Meditation Music: Shamanic Flute Music, Healing Music, Calming Music",6135429,49470,2343,0,2216
31,DJztXj2GPfk,Panjabi MC - Mundian To Bach Ke (The Dictator Soundtrack),79552878,981771,18768,0,56933
32,lp4w2f8hWmQ,#teaser #shortclip3 #hindustaniclassicalraga #Indianmusic #Classicalmusic #VedangDharashive #music,231,4,0,0,0
33,poQe__22arI,Throwback Indian Remix (Bass Up Edition),454419,4624,236,0,136
34,wPUXuCb1lPc,Top 75 Most Viewed Indian Songs on Youtube of All Time | Most Watched Indian Songs,1292467,46195,1408,0,1916
35,qgPEsMhU-GE,अच्छा Harmonium में कितना Keys और कितना Reed होना चाहिए | Indian Music ART,902,72,1,0,13
36,oLy_ZYbXb80,Yesu Mere | New Hindi Christian Song | Shirin George | Pr. Wilson George | Vijay Baisil ©,6985626,71108,3144,0,4254
37,G3t4uNaEShE,Hits of 60&#39;s Hindi Song Collection (1960-1969) | Non Stop Evergreen Love Songs,15500697,53058,11996,0,2299
38,9VpEideG1h0,"Hindi Melody Songs | Sadabahar Gana : kumar sanu, alka yagnik &amp; udit narayan | #musical_masti",586701,3877,952,0,112
39,X-DDknSzELI,"OFFICIAL: &#39;India Waale&#39; FULL VIDEO Song |Happy New Year | Shah Rukh Khan, Deepika Padukone",114290687,589919,44352,0,22581
40,93wGaGFUnTs,This song makes me cry! The Last of the Mohicans THE BEST EVER! by Alexandro Querevalú,78317430,1167159,29227,0,72390
41,XMbqV5i-74c,Despacito - Indian Classical Version (feat. Praveen Prathapan &amp; Janan Sathiendran),8614923,257260,4009,0,12236
42,RQGTYoORHk8,"Dilwale Dulhania Le Jayenge All Songs Jukebox | Shahrukh Khan, Kajol",98981,524,82,0,5
43,0jvDjhbVXbE,NEW BOLLYWOOD HINDI SONGS 2018 | VIDEO JUKEBOX | Latest Bollywood Songs 2018,124525014,312643,64118,0,12123
44,J29F_i5dS7I,Best Of 60s &amp; 70s | Evergreen Hindi Songs |Purane Gaane | Dosti |Jeevan Mrityu |Chitchor | Old Songs,2933418,13725,2461,0,303
45,DkpwhsRynk8,"Tum Bin Movie All Songs Jukebox | Priyanshu Chatterjee, Sandali Sinha | INDIAN MUSIC",141842,596,106,0,15
46,atlb2czUlSU,INDIA CHILLOUT MUSIC MIX 2019 (Ishvari),1410117,17043,536,0,481
47,EAvqh849cT8,Emayya Rama: Vizag Labs | Indian Classical Music,226938,3179,98,0,140
48,Sx_5CEsBt9k,"Har Dil Jo Pyar Karega 4k Hd Video Song | Salman Khan, Rani Mukherjee | Alka Yagnik, Udit Narayan",25244663,104955,16721,0,1921
49,9H9J70EOZfo,Hindi Rhymes for Children &amp; Baby Songs Collection | Infobells,29486117,72447,50358,0,124
,v_id,v_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,KPk34_zCt-g,Best of Arijit Singh  l Arijit Singh Romantic Hindi Songs l Arijit Singh New Songs l Audio Jukebox,53383312,593662,56405,0,21604
1,HPkydJOXXNs,Best of Arijit Singhs 2019 | Arijit Singh Hits Songs | Latest Bollywood Songs | Indian Songs,66061199,620829,50284,0,19421
2,x4AaYr1t3TA,Arijit Singh With His Soulful Performance Mirchi Music Awards HD *High Quality* with Mp3 LINK,35236275,340212,11435,0,9805
3,MJyKN-8UncM,Shayad - Love Aaj Kal | Kartik | Sara | Arushi | Pritam | Arijit Singh,195963884,2081246,72993,0,52518
4,hoNb6HuNmU0,"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh",655216673,5162784,259638,0,221507
5,KMz2pTfRIxw,"Chhod Diya (Lyrics) - Arijit Singh, Kanika Kapoor | Baazaar",29455189,454456,12850,0,10517
6,1UF6NZxerS0,Arijit Singh Live MTV India Tour | Mumbai Highlights | 1080p FULL HD,22890034,338446,9778,0,13210
7,FJ55SHCzt88,Hamdard Full Video Song | Ek Villain | Arijit Singh | Mithoon,187167923,1783000,59517,0,55459
8,YLoYt8H7kjM,Arijit Singh with his soulful performance | 6th Royal Stag Mirchi Music Awards | Radio Mirchi,146570411,1286149,43216,0,45525
9,wyqiS_A8UNU,Arijit Singh live lockdown Virtual Concert 2021 | Helping Rural India | Full live concert,690779,26464,278,0,1437
10,vdbP_3o73qI,Jaan Nisaar - Lyrical | Kedarnath| Arijit Singh | Sushant Singh Rajput | Sara Ali Khan| Amit Trivedi,99113242,1056629,29183,0,30737
11,PVxc5mIHVuQ,"Arijit Singh: Pachtaoge | Vicky Kaushal, Nora Fatehi |Jaani, B Praak, Arvindr Khaira | Bhushan Kumar",542983730,5083471,300107,0,150060
12,HtvwcJLqxE0,"Lyrical: Thodi Jagah Video | Riteish D, Sidharth M, Tara S | Arijit Singh | Tanishk Bagchi",163378841,943741,64674,0,26248
13,cYOB941gyXI,"Hawayein Lyric Video - Jab Harry Met Sejal|Shah Rukh Khan, Anushka|Arijit Singh|Pritam",334338335,1648357,97463,0,55787
14,j3BiIJKBlYE,"Jo Bheji Thi Duaa - Arijit Singh | Nandini Srikar, Kumaar | Vishal-Shekhar | Shanghai",4731442,89400,2528,0,1801
15,Grr0FlC8SQA,"Kalank Title Track - Lyrical | Alia Bhatt , Varun Dhawan | Arijit Singh | Pritam| Amitabh",126135569,827958,43024,0,23643
16,u2A6znC7LIg,"Arijit Singh : Lambiyaan Si Judaiyaan  Full Song | Raabta | Sushant Rajput, Kriti Sanon | T-Series",162695293,1522255,71653,0,57367
17,AgX2II9si7w,"Full Song: Tujhe Kitna Chahne Lage | Kabir Singh | Mithoon Feat. Arijit Singh | Shahid K, Kiara A",180056096,1631962,70167,0,33035
18,OGI0fNvr4fo,Agar Tum Saath Ho - Full Song - ALKA YAGNIK and ARIJIT SINGH,256730171,1625536,83920,0,51840
19,S1ITw5_Y3l4,"Dil Na Jaaneya - Arijit Singh | Good Newwz | Akshay Kumar, Kareena Kapoor, Diljit, Kiara | Rochak K",6617504,109843,1592,0,1140
20,J9sOeanbdUE,ARIJIT SINGH BEST HEART TOUCHING SONGS | TOP 15 SAD SONGS OF ARIJIT SINGH@Sweet Bhavika,45330971,438812,42119,0,18176
21,zfX8aOKiXxg,Neha Kakkar | Tribute to Arijit Singh | Vibhor Parashar | Kunal Pandit | Smule Mirchi Music Awards,88952702,1210133,41898,0,31515
22,l5mac0_BPro,"Salamat Lyrics | Sarbjit | Amaal Mallik, Arijit Singh &amp; Tulsi Kumar",27135609,446641,14801,0,11330
23,RqE4gcrlMvU,"Jo Tum Aa Gaye Ho - Toofaan | Farhan Akhtar,Mrunal T|Arijit Singh|Samuel,Akanksha|Javed Akhtar,Manoj",23033903,43102,3936,0,2821
24,1f18irP--O8,Tomake Chai (তোমাকে চাই ) | Gangster | Arijit Singh | Arindom | Yash | Mimi | Birsa Dasgupta | SVF,56512818,400855,14283,0,11231
25,qfdShSZZxlg,"Tera Fitoor Lyrical - Genius | Utkarsh Sharma, Ishita Chauhan | Arijit Singh | Himesh Reshammiya",602350606,2985181,256194,0,147746
26,pqf9Hexydg0,Ananya - Toofaan | Farhan Akhtar &amp; Mrunal Thakur | Arijit Singh | Shankar Ehsaan Loy | Javed Akhtar,1238940,25927,1238,0,2178
27,JmU3og5n8pw,Best Of Arijit Singh And Atif Aslam Songs 2019 | NEW HINDI ROMANTIC LOVE SONGS | Bollywood SonGS,16742111,138454,15374,0,4774
28,yRB0xbKDebo,"Haan Main Galat - Love Aaj Kal | Kartik, Sara | Pritam | Arijit Singh | Shashwat",149903080,1120431,99975,0,27292
29,NerQs_SOwRo,"Chal Wahan Jaate Hain Full VIDEO Song - Arijit Singh | Tiger Shroff, Kriti Sanon | T-Series",102541538,611212,30649,0,20867
30,gCfOXtE9VWY,How to Sing by Arijit Singh for New Singer  basic Technic for new Singers 2019,2360507,104953,1291,0,2204
31,JK1fPt6gGsE,Best of Arijit Singh 2020 | 80 Super Hit Songs Jukebox | 6 hours non stop,2875976,40842,2228,0,1250
32,u2_ezG9RUV0,"Bollywood New Songs 2021 💖 Jubin Nautyal, Arijit Singh, Atif Aslam,Neha Kakkar 💖 Hindi Songs.",374430,3399,458,0,139
33,xxkTJ5hdngA,"AGAR TUM SAATH HO (LYRICS) | ARIJIT SINGH, ALKA YAGNIK | RANBIR K, DEEPIKA P | A.R REHMAN, IRSHAAD K",11814,763,15,0,48
34,Ee_9J9lGgS0,Main Tera Hero | Shanivaar Raati | Full Video Song | Arijit Singh | Varun Dhawan,139602683,453937,59729,0,12233
35,Ps4aVpIESkc,"ARIJIT SINGH VERSION: Bekhayali Full Song | Kabir Singh | Shahid K,Kiara A | Sandeep Reddy V| Irshad",52525732,421509,23367,0,9368
36,dJ4ItjLfre0,"Mast Magan - Arijit Singh, Chinmayi Sripada [WORMONO Lofi Remake] | 2 States | Bollywood Lofi",4654209,86421,998,0,1313
37,5Q8d2qWGrvQ,Jaan Nisaar - Arijit Singh [WORMONO Lofi Remake] | Kedarnath | Bollywood Lofi,9013228,196430,1787,0,3578
38,D49y81G6tpk,Kabhi Jo Badal Barse | Breakup | Dj Seenu KGP | Love Mix | Arijit Singh | BASS CRACKERS,52802512,244706,17291,0,5611
39,zocP7rYNSIw,Neki Ki Raah (LYRICS) - Arijit Singh Ft. Mithoon,4054544,95730,2744,0,2371
40,4ZwlkEjrNuQ,Arijit Singh&#39;s NEW SOULFUL Performance on Facebook Live 2021 | Indian American Reactions !!,6867,653,6,0,136
41,xitd9mEZIHk,"Mast Magan FULL Video Song | 2 States | Arijit Singh | Arjun Kapoor, Alia Bhatt",36751554,342690,9227,0,6611
42,L2d-n3SH7p4,Khairiyat Puncho | Dj Remix | Arijit Singh | Sushant Singh | #Heart #Toching #Love Song | T M Series,9089707,53475,4619,0,1958
43,IP8XL7PE1UY,ARIJIT SINGH JUKEBOX 2016-2017| BEST OF ARIJIT SINGH| TOP 20 SONGS OF ARIJIT|,17687493,96794,12759,0,4445
44,t67j86yOb7k,Muskurane Lirik dan Artinya - Arijit Singh,390713,4148,111,0,96
45,R3mkNXTUNo4,"New Hindi  Songs 2021 - Jubin Nautyal, Arijit Singh, Armaan Malik,Atif Aslam,Neha Kakkar",228648,1329,176,0,6
46,nkLWmBbS76I,450K Special Montage | Jaan Nisar | Arijit Singh | Best Ever | Pubg Mobile,78352,17751,174,0,1038
47,P4fzOSVy6-o,"Sajde | Full Song | Kill Dil | Ranveer, Parineeti, Arijit Singh, Nihira | Shankar-Ehsaan-Loy, Gulzar",28460967,276057,9404,0,4366
48,ZmcBC9-wAXM,Qaafirana | Kedarnath | Sushant Rajput | Sara Ali Khan | Arijit Singh &amp; Nikhita | Amit Trivedi,185055030,1321664,45960,0,38084
49,DrufC1JfWJc,Gerua - Arijit Singh (lirik terjemahan indonesia),640538,,,0,101
,v_id,v_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,nKGECvWPGvI,AAJA NA FERRARI MEIN (Full Video) | Armaan Malik | Amaal Mallik | T-Series | Latest Hindi Song 2017,68714149,685072,37084,0,29671
1,MprKq3O-UI0,House shifting,460508,21582,657,0,979
2,jOZqd_sGECM,Armaan Mallik reacts to Instagram picture comments | Veham | RJ Prerna,20171,992,26,0,76
3,F6DvueJ8RKI,Family fitness blog,288798,15808,513,0,847
4,KL6ktuWPIIM,Does Armaan Mallik remember all his fan clubs? | Control | JAM - JUST A MINUTE | RJ Sangy,17038,799,17,0,58
5,uTd2Xy1PDQQ,Armaan Mallik Humein Tumse Pyaar Kitna Song lyrics,164568,3435,75,0,103
6,6Jwhe_fqXHY,Fever Unplugged with RJ Urmin | Feat. Armaan Malik,2740,285,0,0,37
7,u0tR8EfVR9c,Chale Aana Full Song With Lyrics Armaan Malik | Amaal Mallik,13556856,130376,4151,0,5978
8,ifJyxnl3AE0,What happened when Amaal Mallik &amp; Armaan Mallik loved the same girl ? | Tu Mera Nahi | RJ Sangy,28191,786,15,0,58
9,RHxrA51JOf8,Kyun Rabba - Reprise | Armaan Malik | Amaal Mallik | Badla | Amitabh Bachchan | Taapsee Pannu,28829093,316933,5213,0,11123
10,v4HmTrphlxg,Beat junglee full song by Armaan Mallik,651265,4943,266,0,201
11,G5m09zLItr8,Armaan Mallik Special Song Recording Exclusive Interview: Must Watch,499420,,,0,
12,LSYpxo7behA,"Bandish Bandits - Jukebox | Shankar Ehsaan Loy | Javed Ali, Armaan Mallik, Jonita Gandhi | New Songs",4958132,68079,1976,0,5636
13,ekEKWqTtxBs,Armaan Mallik 20th Birthday Celebrate With Bollywood Celebs !!!,29370,706,17,0,24
14,YSW7pL_8JDY,Amaal Mallik and Armaan Mallik REVEAL their embarrassing moments,2129,116,0,0,6
15,7uFL86waW7k,Armaan Malik Celebrate 26th Birthday With Family &amp; Friends || HBD AM || SLV2021,8321,1071,9,0,300
16,f1qz8vn3XbY,Ghar Se Nikalte Hi Song | Amaal Mallik Feat. Armaan Malik | Bhushan Kumar | Angel,116258239,1163096,41514,0,40185
17,wATH0Rl8Lew,Saina: Main Hoon Na Tere Saath (Official Song) Parineeti Chopra | Amaal Mallik Armaan Malik Kunaal V,10968091,82741,1997,0,8659
18,5Up8XW-K-Ik,"Zara Thehro Song | Amaal Mallik, Armaan Malik, Tulsi Kumar |Rashmi V| Mehreen Pirzada| Bhushan Kumar",33476022,372802,23338,0,14342
19,VEFzQZhEqkE,My home tour,806047,35179,1352,0,2115
20,79iUNEaEgnQ,Chale Aana BTS | Amaal Mallik | Armaan Malik | Kunaal V,2582341,82584,1021,0,3574
21,KU3JLQmlU8U,Tere Mere Song (Reprise) | Armaan Malik ft. Daniel K. Rego | Amaal Mallik | Latest Hindi Songs 2017,47498495,559116,14339,0,15238
22,u8c3eV3Dgpk,Latest Bollywood Songs 2021 | Best Songs Of Armaan Malik 2021 JulY : ARMAAN MALIK New Songs 2021,3025,47,2,0,4
23,xe3OYN0eSnk,Armaan Mallik 🔥 live on Instagram ❤ Bol doo na zara || Sab Tera 💕 Live Singing 😍 2020,1058,51,1,0,2
24,LiB9NQmqtgk,Butta bomma song || Armaan Mallik || Allu arjun || Telgu song.,108412,6057,172,0,53
25,mJE-ovNekoo,Armaan Malik | Amaal Mallik | Ready To Move |  Tiger Shroff | Show Time,349225,8044,125,0,319
26,BrLU8u3Nq8w,"Exclusive Interview | Yeh Saali Aashiqui | Armaan Mallik, Vardhan Puri &amp; Shivaleeka Oberoi",14675,521,8,0,25
27,5inHLQQ4uTg,Ghar Se Nikalte Hi NEW Single | Singer Composer Amaal &amp; Armaan Mallik Interview,39761,1178,14,0,70
28,KfLJYZ_OqGQ,Kyun Rabba | Armaan Mallik | Cover || Visual Records ||Ft. Swadhin,11892,907,21,0,196
29,l9duToICdtU,"Armaan Mallik &amp;Tulsi Kumar ~ZARA THEHRO Song Lyrics | Amaal Mallik , Mehreen Pirzada | Latest Song",29448,725,40,0,23
30,IK2dtYYeO3A,"Armaan Mallik (The Voice) Real Life  Family / Girlfriend, Father, Mother, Brother, Grandmother",3414,87,1,0,8
31,d_nyfLQeHvc,Ghar Se Nikalte Hi || Credit-Amal Mallik &amp; Armaan Mallik ||Cover Song || By~Aniket Sukla,128,33,0,0,18
32,WCoKVZVVTl8,"Armaan Mallik on Control, trying english music &amp; much more | Full Interview | RJ Sangy",7150,319,4,0,36
33,af0J7y6ph5c,Dil Mein Ho Tum | New Romantic Love Story | ZaMaN | Akram |Armaan Mallik|Mankachar |channelMiX,48948,1830,121,0,359
34,5REQAiEm9mQ,"Yeah!🎉🎂 ARMAAN MALIK Birthday special-Wish Him,celebration•brothers love•fun || R B YouTube 2021",3774,410,2,0,123
35,5u-1Ar2V4Yo,Dil Mein Ho Tum Unplugged Cover By Shubham Chawla | Armaan Mallik | Cheat India | Emraan Hashmi,21590,1178,14,0,125
36,ZwjAJUrmJOc,Amaal Mallik on his new song &#39;Kya Kiya Hain Tune&#39; | Armaan Mallik | Collaborating with Dua Lipa,2070,132,0,0,7
37,QCCScSP0W9k,Amaal Mallik &amp; Armaan Malik Creates Magic On The Stage #RSMMA 2016,3477289,54037,1319,0,776
38,yGWEc2ZkpJc,"Music Update 44 | Arijit Singh #Rihaa Song | Shreya Ghoshal New, Armaan Mallik New | New Darshan",646,103,7,0,21
39,Yf5hQReTrdo,Bol Do Na Zara Song Live Performance By Armaan Mallik &amp; Photographer Sanjana,5440,165,3,0,2
40,RjgNLltYTEo,Arman Mallik singing Kannada song | Ondhu Malebillu | Sariyagi Nenapidhe Nanage,134979,2645,78,0,87
41,JbSp_Y88nHo,Cover Song: Bol Do Na Zara | Amit Gupta | Armaan Mallik | Rashmi Virag,1044889,,,0,25
42,llIVIV2wVsI,Armaan Malik: &quot;I&#39;d ask SRK- when can PRINCE of romance sing for KING of romance&quot;,4477,272,1,0,28
43,PlXw4qXktus,Bol Do Na Zara Guitar Lesson | Azhar | Armaan Mallik | Easy Guitar Lesson | Chords | Pickachord,2348,87,4,0,24
44,dOuW-sLgTpQ,Chale Aana | De De Pyaar De | Armaan Mallik | Cover Song | Mehul Agarwal | Cajon Version |,1597,112,1,0,11
45,CMnpKARSWtU,CHALE AANA (Lyrics HD) |  De De Pyaar De ft. Armaan Mallik,38687,171,14,0,14
46,zL3T3OLZ-uA,Tere Mere Reprise | Shubham Chawla | Armaan Mallik | Chef | Saif Ali Khan,8778,685,6,0,78
47,CsGDG7UyyZM,Sad Song 😔🥀 WhatsApp Status || Zindagi Bewafa Hai Ye Mana Magar || Armaan Mallik Status,309926,13317,140,0,65
48,L0f3pp8Gdfo,EXCLUSIVE INTERVIEW || Armaan Mallik &amp; Amaal Mallik || MUSIC INDIA,18343,673,7,0,29
49,A_YlTmIAVtg,"&quot;Main Rahoon Ya Na Rahoon&quot; - Amaal Mallik, Armaan Mallik (Antareep, Surya COVER)",3581,166,6,0,13
,v_id,v_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,tx-Mh7kH9SY,Sufi Music Today|20 songs Jukebox |Asees Kaur |Harshdeep Kaur |Jubin Nautiyal |Nakash Aziz |Ash King,746447,14505,429,0,184
1,tFvtcGo8lLA,Bollywood Sufi Songs 2017 | Best of Sufi Jukebox | Sufi Audio Jukebox 2017,15084214,57330,7984,0,1788
2,3gmmJYZke2U,Jonny Sufi Live Allah Jaane,1987111,27252,2339,0,638
3,Hka0Zr8Dikc,Soulful Sufi Songs of Rahat Fateh Ali Khan | AUDIO JUKEBOX | Best of Rahat Fateh Ali Khan Songs,38048798,142589,18019,0,5798
4,7jrAZPXg0Jo,Sufi,87816,3116,59,0,113
5,zjJyVcSnVJI,Sufi songs jukebox Vol.2,1336534,14344,798,0,218
6,uSYI4Wkh9wo,ആരാണ് സൂഫി? | സൂഫി എങ്ങനെ ആവണം | Sufi Thought Malayalam | islamic speech Malayalam,20446,558,10,0,168
7,0COaOVpd9FA,Salmaan Ali ने Stage पे Sufi का  माहौल बनाया! | Indian Idol | Winner&#39;s Performance,4633549,64799,2327,0,929
8,0fOSWsdbNbk,Chap Tilak by Fanna-Fi-Allah Sufi Qawwali,4551902,52344,2853,0,3136
9,4ThZtzDIfyc,Islam में Sufism क्या है और वो किसे मानते हैं? (BBC Hindi),226528,,,0,1733
10,WKlkMu_i1Zk,10 + Incredible Facts About SUFISM,120644,3341,189,0,1233
11,yVEhT2LZ2r4,"എന്താണ് സൂഫിസം, ആരാണ് സൂഫി ?    Siddiq Muhammad   #Sufism   #Sufi Foundation India",13912,446,15,0,0
12,tL5sYdlk20I,"Tu Mane Ya Na Mane,Wadali Brothers,Coke Studio @ MTV,S01,E03",21650921,137638,6569,0,3912
13,VSOiSYxAkmY,Shagufta Dili Song | Satinder Sartaaj | Sufi Love Song | Punjabi Song 2019 | Official Music Video,14755255,159756,9156,0,6413
14,emTPIBDBb0A,Chaap Tilak - Namita Choudhary | Sufi Music 2020,1694756,66491,465,0,1280
15,U2QgjaeK_Pg,Jugni  | Tochi Raina | Sufi Acoustica | Band Of Bandagi,4027470,45572,1830,0,2659
16,hkuimX1bh6g,"The Sufi Whirling Dervishes - Istanbul, Turkey",1160325,6819,862,0,865
17,jm4n0zaaZGQ,Heart touching Sufi songs that will make your soul feel refreshed (2000-2019),1519689,40585,821,0,879
18,HW_6aD5e_jQ,Q&amp;A: Why did the Prophet (S) not talk about sufism and tarikat in his hadith and Quran,45137,,,0,33
